P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Article 50 of the Digital Administration Code (CAD) [ http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82!vig= ] expressly states that the data of public administrations are formed, collected, stored, made available and accessible through the use of information and communication technologies that allow their use and re-use by other public administrations and by private (citizens, businesses …), in accordance with the conditions established by law.

The subsequent article 52 also provides, with reference to reuse by the public sector, that in the definition of the specifications or the outlines of the contracts, relating to products and services that involve the production, collection and management of data, the administrations provide for suitable clauses to allow the use, in accordance with the provisions of (aforementioned) art. 50.
Furthermore, the same article 52 provides that the activities aimed at ensuring the access and re-use of public administration data fall within the parameters for assessing managerial performance.
The same article 52, to support the re-use of open data by the public and private sector, establishes the principle “Open data by default”.

Moreover, in Italy, almost all Regions and many municipalities have their own “policy to support the reuse of open data”. [ https://www.dati.gov.it/riferimenti-normativi-linee-guida-regionali ] 
In general, these administrations proceed with the adoption of dedicated policies and local guidelines for the effective implementation of the national strategy on the territory.
In this regard, it should be noted that in order to harmonize the process of exploiting public data (at national, regional and local level) the strategy defined by the individual administrations has to comply with the strategy set out in the Three-Year Plan, resulting in disciplinary liability and economic damage in case of non-compliance (L. 208/2015, art.1, co 512-517).
[ http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2015-12-28;208!vig= ]
The Three-Year Plan explicitly states that the enhancement of public information assets is a strategic objective for the Public Administration to effectively address the new challenges of the data economy also to provide policy makers with data-driven tools to be used in decision-making processes.
In this context, a National Digital Data Platform (PDND - Piattaforma Digitale Nazionale Dati) is established by the art. 50-ter of the mentioned Digital Administration Code that will enable public administrations to share its own data through APIs also with the aim to develop data-driven policies. The Plan includes specific actions for public administrations for the implementation of PDND.";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Article 50 of the Digital Administration Code (CAD) [ http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82!vig= ] expressly states that the data of public administrations are formed, collected, stored, made available and accessible through the use of information and communication technologies that allow their use and re-use by other public administrations and by private sector (citizens, businesses, ...) in accordance with the conditions established by law.
Furthermore, the Legislative Decree No. 36/2006 (amended by the Legislative Decree No. 200/2021 transposing the Directive (UE) 2019/1024) ensures the application of the principle that documents and data shall be re-usable for commercial or non-commercial purposes.
The Three-Year Plan for ICT in the PA 2022-2024 includes specific actions for smart communities related to specific project, such as the Smarter Italy project which intends to experiment with new technological solutions, alongside mechanisms of open innovation and smart procurement for the territories. Smarter Italy will initially operate on three lines: Smart mobility, Cultural heritage and Wellbeing, to gradually extend the digitization processes to the environment, infrastructures and training. The reuse of open data in this context is crucial.

Finally, the 2025 Strategy for Technological Innovation and digitisation of the Country includes 20 objectives among which ""Data for the Cities of the Future"" aimed at reusing data created by the operators fullfilling public services also by private sector to develop new services, new entrepreneurial activities, new innovative solutions (see https://assets.innovazione.gov.it/1610546390-midbook2025.pdf).";Confirm;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"The Legislative Decree No. 36/2006 (amended by the Legislative Decree No. 200/2021 transposing the Directive (UE) 2019/1024) includes a specific provision for documenting data falling within the scope of the Decree and Directive, through metadata, in the national catalogues, the open data portal https://dati.gov.it and the catalogue for spatial data https://geodati.gov.it .

Article 24-quater, par.  2, D.L. n. 90/2014, converted into Law no. 114/2014, obliges all Public Administrations and public undertakings to notify the Agency for Digital Italy of the databases they own. 
[ http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2014-06-24;90!vig= ]
As a result of the implementation of this rule, those databases are now documented in a special repository into the national portal dati.gov.it [ https://www.dati.gov.it/base-dati-informazioni ].

In addition, Article 50 of the Digital Administration Code [ http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82!vig= ] requires administrations to proceed with the analysis of their own data, within the scope of their institutional tasks, also in combination with data held by other subjects, whereas “Legislative Decree no. 33/2013, Articles. 3 to 9-bis”  [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2013-03-14;33!vig=2019-06-05 ] provides for explicit actions for administrations aimed at the inventory, publication, access and re-use of data by administrations.

Finally, article 53 of the Digital Administration Code  states that the public administrations shall publish the inventory of data and metadata, as well as the related databases owned and the rules governing the access and the reuse of such data and metadata.";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"The aforementioned legislation affects both open and not open data. 
As indicated in the answer to the previous question, the database catalogue https://www.dati.gov.it/base-dati-informazioni collects information about the databases of the Public Administrations on the basis of the aforementioned D. L. 90/2014. This catalogue, integrated into the dati.gov.it national portal, has been made available for query functions and is particularly relevant with a view to fostering the sharing of data between public administrations, for institutional purposes which, together with the re-use of open data, represents one of the policies for enhancing the value of public information assets. These resources cannot be published as open data.
In addition, the national catalogue for spatial data https://geodati.gov.it (linked to the open data portal) includes the metadata for both open and not open spatial data. In case of open spatial data, metadata are also made available in the open data portal through the GeoDCAT-AP.";Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;In 2023, a working group was set up with the main  administrations owner of HVDs and a  guidance document was adopted in order to provide with operational recommendations for the  application of the Regulation. The first version of that guidance document is available here https://www.agid.gov.it/sites/default/files/repository_files/guida_operativa_hvd_-_ver._1.0.pdf  ;;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;3;3;4;3;3;4;4;;;;
P11-b;Earth observation and environment;3;4;4;3;3;3;4;;;;
