ID;cross_year_id;response;decision;awarded_score;max_score;explanation
P10-b;P10-b;yes;complement;20;20;"2025:
As noted above, there is no legal obligation to create data catalogues.

Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.

The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany. In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases.
2024:
2024:
As noted above, there is no legal obligation to create data catalogues. Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.
The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany.

In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases.
2023:
Yes, the Verwaltungsdateninformationsplattform (VIP, see above) specifies identifying (but not publishing) all metadata from registers, which by their nature as personal data do not entail any open data.
The German Open Data Law (§12a EGovG) currently specifies, which data cannot be published as open data. This data for instance includes individual-level personal data, research data, as well as data thay may put Germany's national security at risk. 

Furthermore the second Open Data Act (in force since 07/2021) includes a specific regime for research data requiring publication in certain cases"
P11;P11;yes;complement;40;40;"2025:
FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze
2024:
FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

There is also a guideline and a process diagram in preparation."
P12;P12;yes;complement;20;20;"2025:
Most of the HVD-relevant datasets are marked as HVD and are therefore accessible via the national metadata portal (GovData).
2024:
Some data sets are already marked as a high-value dataset, for example in the geodata area."
P13;P13;yes;complement;40;40;"2025:
The Competence Center for Open Data (CCOD) organizes several events annually that explicitly involve stakeholders from various sectors of society (administration, research/science, business, and civil society). At the end of each year, the CCOD organizes a roundtable discussion with all stakeholders to identify thematic priorities for upcoming expert forums. Based on the results, the expert forums for the following year are then designed and offered. Examples: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Meldungen/Aktuelles/2024/FF_DQS_RT.html , https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Meldungen/Aktuelles/2024/FF_RefArch.html .

Furthermore, the CCOD has been offering a comprehensive exchange and networking platform for the entire open data community with the Open Data Forum since the end of 2024. Link: https://discourse.opencode.de/c/opendata/755 
2024:
The Competence Centre Open Data (CCOD) organises an annual round table to find topics for future specialist forums with various stakeholders who provide open data. As a result, the CCOD organises regular expert forums on different topics in the field of Open Data with different stakeholders.
Example (expert forum for high-value-datasets): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html"
P14;P14;hybrid;confirm;0;0;Hybrid, because of the federal structures in Germany. This model is used to incorporate all federal levels and ensure an alignment of projects and initiatives at local and regional level. 
P15;P15;no;confirm;0;20;Due to the federal structure of Germany, the possibilities of support at regional and local level are very limited.
P16;P16;the majority of public bodies;confirm;15;20;"Due to the regulations all authorities at the federal state level are obligated to provide open data.
see § 12a sec.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Some of the states (Länder) have also implemented different open data policies, that oblige their public bodies to provide open data.
e.g. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Moreover a lot of minucipalities and cities provide open (government) data.
- City of Berlin, https://daten.berlin.de/
- City of Munich: https://opendata.muenchen.de/
- City of Bonn, https://opendata.bonn.de/"
P17;P17;yes;complement;20;20;"2025:
Responsibilities and structures are not summarized in a central document, but are described in various official sources:

Open Data:
The Federal Ministry of the Interior and Community (BMI), due to its technical responsibility for open data at the federal level, summarizes the essential structural information on its website: Link: https://www.bmi.bund.de/DE/themen/moderne-verwaltung/open-government/open-data/open-data-node.html

GovData (National Open Data Portal):
Basic information on GovData is described on the following FITKO (Federal IT Cooperation) page: https://www.fitko.de/produktmanagement/govdata
The detailed role of the national open data portal (GovData) is described in Section 7 of the following published document: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open Data Competence Center (CCOD):
The role of the CCOD is described in the introductory text: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
(see contact details)

Open Data Coordination:
A CCOD guide provides an overview of Open Data Coordination and the associated tasks and roles:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html
2024:
Not summarised in a single document, but described in different documents:

GovData (nitional Open Data Portal):
The role of the national open data portal (GovData) is described under section 7 in the following published document: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open Data Coordination
- a good overview of Open Data Coordination and related tasks and roles can be found in a CCOD guidance document:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Competence center of Open Data (CCOD):
The role of the CCOD is described in the introductory text, see: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html 
(see contact persons)"
P18;P18;yes;complement;20;20;"2025:
There are various, often ad hoc, exchanges between the two teams. Furthermore, regular contact between the GovData product board and the Open Data team is ensured through quarterly meetings.

Currently, no source can be directly linked. However, the tasks of the Product Board are described in detail in Resolution 2024-51 of the IT Planning Council. Link: https://www.it-planungsrat.de/fileadmin/beschluesse/2024/Beschluss_2024-51_Produktmanagement_Gesamtdokumentation.pdf
2024:
2024:
Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData.
2023:
Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData (compare the answer to question 12, issue 3)."
P19;P19;yes;complement;20;20;"2025:
The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory. As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of data laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level
2024:
2024:
Yes:
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of data laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level.
2023:
Yes (compare also answer to question 12 above):
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of dan laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level."
